turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
532,21.649484536082475,22.689075630252102,0.0,0.0
533,21.649484536082475,22.689075630252102,0.0,0.0
534,21.649484536082475,22.689075630252102,0.0,0.0
535,21.649484536082475,22.689075630252102,0.0,0.0
536,21.649484536082475,22.689075630252102,0.0,0.0
537,21.649484536082475,22.689075630252102,0.0,0.0
538,21.649484536082475,22.689075630252102,0.0,0.0
539,21.649484536082475,22.689075630252102,0.0,0.0
540,21.649484536082475,22.689075630252102,0.0,0.0
541,21.649484536082475,22.689075630252102,0.0,0.0
542,21.649484536082475,22.689075630252102,0.0,0.0
543,21.649484536082475,22.689075630252102,0.0,0.0
544,21.649484536082475,22.689075630252102,0.0,0.0
545,21.649484536082475,22.689075630252102,0.0,0.0
546,21.649484536082475,22.689075630252102,0.0,0.0
547,21.649484536082475,22.689075630252102,0.0,0.0
548,21.649484536082475,22.689075630252102,0.0,0.0
549,21.649484536082475,22.689075630252102,0.0,0.0
550,21.649484536082475,22.689075630252102,0.0,0.0
551,21.649484536082475,22.689075630252102,0.0,0.0
552,21.649484536082475,22.689075630252102,0.0,0.0
553,21.649484536082475,22.689075630252102,0.0,0.0
554,21.649484536082475,22.689075630252102,0.0,0.0
555,21.649484536082475,22.689075630252102,0.0,0.0
556,21.649484536082475,22.689075630252102,0.0,0.0
557,21.649484536082475,22.689075630252102,0.0,0.0
558,21.649484536082475,22.689075630252102,0.0,0.0
559,21.649484536082475,22.689075630252102,0.0,0.0
560,21.649484536082475,22.689075630252102,0.0,0.0
561,21.649484536082475,22.689075630252102,0.0,0.0
562,21.649484536082475,22.689075630252102,0.0,0.0
563,21.649484536082475,22.689075630252102,0.0,0.0
564,21.649484536082475,22.689075630252102,0.0,0.0
565,21.649484536082475,22.689075630252102,0.0,0.0
566,21.649484536082475,22.689075630252102,0.0,0.0
567,21.649484536082475,22.689075630252102,0.0,0.0
568,21.649484536082475,22.689075630252102,0.0,0.0
569,21.649484536082475,22.689075630252102,0.0,0.0
570,21.649484536082475,22.689075630252102,0.0,0.0
571,21.649484536082475,22.689075630252102,0.0,0.0
572,21.649484536082475,22.689075630252102,0.0,0.0
573,21.649484536082475,22.689075630252102,0.0,0.0
574,21.649484536082475,22.689075630252102,0.0,0.0
575,21.649484536082475,22.689075630252102,0.0,0.0
576,21.649484536082475,22.689075630252102,0.0,0.0
577,21.649484536082475,22.689075630252102,0.0,0.0
578,21.649484536082475,22.689075630252102,0.0,0.0
579,21.649484536082475,22.689075630252102,0.0,0.0
580,21.649484536082475,22.689075630252102,0.0,0.0
581,21.649484536082475,22.689075630252102,0.0,0.0
582,21.649484536082475,22.689075630252102,0.0,0.0
583,21.649484536082475,22.689075630252102,0.0,0.0
584,21.649484536082475,22.689075630252102,0.0,0.0
585,21.649484536082475,22.689075630252102,0.0,0.0
586,21.649484536082475,22.689075630252102,0.0,0.0
587,21.649484536082475,22.689075630252102,0.0,0.0
588,21.649484536082475,22.689075630252102,0.0,0.0
589,21.649484536082475,22.689075630252102,0.0,0.0
590,21.649484536082475,22.689075630252102,0.0,0.0
591,21.649484536082475,22.689075630252102,0.0,0.0
592,21.649484536082475,22.689075630252102,0.0,0.0
593,21.649484536082475,22.689075630252102,0.0,0.0
594,21.649484536082475,22.689075630252102,0.0,0.0
595,21.649484536082475,22.689075630252102,0.0,0.0
596,21.649484536082475,22.689075630252102,0.0,0.0
597,21.649484536082475,22.689075630252102,0.0,0.0
598,21.649484536082475,22.689075630252102,0.0,0.0
599,21.649484536082475,22.689075630252102,0.0,0.0
600,21.649484536082475,22.689075630252102,0.0,0.0
601,21.649484536082475,22.689075630252102,0.0,0.0
602,21.649484536082475,22.689075630252102,0.0,0.0
603,21.649484536082475,22.689075630252102,0.0,0.0
604,21.649484536082475,22.689075630252102,0.0,0.0
605,21.649484536082475,22.689075630252102,0.0,0.0
606,21.649484536082475,22.689075630252102,0.0,0.0
607,21.649484536082475,22.689075630252102,0.0,0.0
608,21.649484536082475,22.689075630252102,0.0,0.0
609,21.649484536082475,22.689075630252102,0.0,0.0
610,21.649484536082475,22.689075630252102,0.0,0.0
611,21.649484536082475,22.689075630252102,0.0,0.0
612,21.649484536082475,22.689075630252102,0.0,0.0
613,21.649484536082475,22.689075630252102,0.0,0.0
614,21.649484536082475,22.689075630252102,0.0,0.0
615,21.649484536082475,22.689075630252102,0.0,0.0
616,21.649484536082475,22.689075630252102,0.0,0.0
617,21.649484536082475,22.689075630252102,0.0,0.0
618,21.649484536082475,22.689075630252102,0.0,0.0
619,21.649484536082475,22.689075630252102,0.0,0.0
620,21.649484536082475,22.689075630252102,0.0,0.0
621,21.649484536082475,22.689075630252102,0.0,0.0
622,21.649484536082475,22.689075630252102,0.0,0.0
623,21.649484536082475,22.689075630252102,0.0,0.0
624,21.649484536082475,22.689075630252102,0.0,0.0
625,21.649484536082475,22.689075630252102,0.0,0.0
626,21.649484536082475,22.689075630252102,0.0,0.0
627,21.649484536082475,22.689075630252102,0.0,0.0
628,21.649484536082475,22.689075630252102,0.0,0.0
629,21.649484536082475,22.689075630252102,0.0,0.0
630,21.649484536082475,22.689075630252102,0.0,0.0
631,21.649484536082475,22.689075630252102,0.0,0.0
632,21.649484536082475,22.689075630252102,0.0,0.0
633,21.649484536082475,22.689075630252102,0.0,0.0
634,21.649484536082475,22.689075630252102,0.0,0.0
635,21.649484536082475,22.689075630252102,0.0,0.0
636,21.649484536082475,22.689075630252102,0.0,0.0
637,21.649484536082475,22.689075630252102,0.0,0.0
638,21.649484536082475,22.689075630252102,0.0,0.0
639,21.649484536082475,22.689075630252102,0.0,0.0
640,21.649484536082475,22.689075630252102,0.0,0.0
641,21.649484536082475,22.689075630252102,0.0,0.0
642,21.649484536082475,22.689075630252102,0.0,0.0
643,21.649484536082475,22.689075630252102,0.0,0.0
644,21.649484536082475,22.689075630252102,0.0,0.0
645,21.649484536082475,22.689075630252102,0.0,0.0
646,21.649484536082475,22.689075630252102,0.0,0.0
647,21.649484536082475,22.689075630252102,0.0,0.0
648,21.649484536082475,22.689075630252102,0.0,0.0
649,21.649484536082475,22.689075630252102,0.0,0.0
650,21.649484536082475,22.689075630252102,0.0,0.0
651,21.649484536082475,22.689075630252102,0.0,0.0
652,21.649484536082475,22.689075630252102,0.0,0.0
653,21.649484536082475,22.689075630252102,0.0,0.0
654,21.649484536082475,22.689075630252102,0.0,0.0
655,21.649484536082475,22.689075630252102,0.0,0.0
656,21.649484536082475,22.689075630252102,0.0,0.0
657,21.649484536082475,22.689075630252102,0.0,0.0
658,21.649484536082475,22.689075630252102,0.0,0.0
659,21.649484536082475,22.689075630252102,0.0,0.0
660,21.649484536082475,22.689075630252102,0.0,0.0
661,21.649484536082475,22.689075630252102,0.0,0.0
662,21.649484536082475,22.689075630252102,0.0,0.0
663,21.649484536082475,22.689075630252102,0.0,0.0
664,21.649484536082475,22.689075630252102,0.0,0.0
665,21.649484536082475,22.689075630252102,0.0,0.0
666,21.649484536082475,22.689075630252102,0.0,0.0
667,21.649484536082475,22.689075630252102,0.0,0.0
668,21.649484536082475,22.689075630252102,0.0,0.0
669,21.649484536082475,22.689075630252102,0.0,0.0
670,21.649484536082475,22.689075630252102,0.0,0.0
671,21.649484536082475,22.689075630252102,0.0,0.0
672,21.649484536082475,22.689075630252102,0.0,0.0
673,21.649484536082475,22.689075630252102,0.0,0.0
674,21.649484536082475,22.689075630252102,0.0,0.0
675,21.649484536082475,22.689075630252102,0.0,0.0
676,21.649484536082475,22.689075630252102,0.0,0.0
677,21.649484536082475,22.689075630252102,0.0,0.0
678,21.649484536082475,22.689075630252102,0.0,0.0
679,21.649484536082475,22.689075630252102,0.0,0.0
680,21.649484536082475,22.689075630252102,0.0,0.0
681,21.649484536082475,22.689075630252102,0.0,0.0
682,21.649484536082475,22.689075630252102,0.0,0.0
683,21.649484536082475,22.689075630252102,0.0,0.0
684,21.649484536082475,22.689075630252102,0.0,0.0
685,21.649484536082475,22.689075630252102,0.0,0.0
686,21.649484536082475,22.689075630252102,0.0,0.0
687,21.649484536082475,22.689075630252102,0.0,0.0
688,21.649484536082475,22.689075630252102,0.0,0.0
689,21.649484536082475,22.689075630252102,0.0,0.0
690,21.649484536082475,22.689075630252102,0.0,0.0
691,21.649484536082475,22.689075630252102,0.0,0.0
692,21.649484536082475,22.689075630252102,0.0,0.0
693,21.649484536082475,22.689075630252102,0.0,0.0
694,21.649484536082475,22.689075630252102,0.0,0.0
695,21.649484536082475,22.689075630252102,0.0,0.0
696,21.649484536082475,22.689075630252102,0.0,0.0
697,21.649484536082475,22.689075630252102,0.0,0.0
698,21.649484536082475,22.689075630252102,0.0,0.0
699,21.649484536082475,22.689075630252102,0.0,0.0
700,21.649484536082475,22.689075630252102,0.0,0.0
701,21.649484536082475,22.689075630252102,0.0,0.0
702,21.649484536082475,22.689075630252102,0.0,0.0
703,21.649484536082475,22.689075630252102,0.0,0.0
704,21.649484536082475,22.689075630252102,0.0,0.0
705,21.649484536082475,22.689075630252102,0.0,0.0
706,21.649484536082475,22.689075630252102,0.0,0.0
707,21.649484536082475,22.689075630252102,0.0,0.0
708,21.649484536082475,22.689075630252102,0.0,0.0
709,21.649484536082475,22.689075630252102,0.0,0.0
710,21.649484536082475,22.689075630252102,0.0,0.0
711,21.649484536082475,22.689075630252102,0.0,0.0
712,21.649484536082475,22.689075630252102,0.0,0.0
713,21.649484536082475,22.689075630252102,0.0,0.0
714,21.649484536082475,22.689075630252102,0.0,0.0
715,21.649484536082475,22.689075630252102,0.0,0.0
716,21.649484536082475,22.689075630252102,0.0,0.0
717,21.649484536082475,22.689075630252102,0.0,0.0
718,21.649484536082475,22.689075630252102,0.0,0.0
719,21.649484536082475,22.689075630252102,0.0,0.0
720,21.649484536082475,22.689075630252102,0.0,0.0
721,21.649484536082475,22.689075630252102,0.0,0.0
722,21.649484536082475,22.689075630252102,0.0,0.0
723,21.649484536082475,22.689075630252102,0.0,0.0
724,21.649484536082475,22.689075630252102,0.0,0.0
725,21.649484536082475,22.689075630252102,0.0,0.0
726,21.649484536082475,22.689075630252102,0.0,0.0
727,21.649484536082475,22.689075630252102,0.0,0.0
728,21.649484536082475,22.689075630252102,0.0,0.0
729,21.649484536082475,22.689075630252102,0.0,0.0
730,21.649484536082475,22.689075630252102,0.0,0.0
731,21.649484536082475,22.689075630252102,0.0,0.0
732,21.649484536082475,22.689075630252102,0.0,0.0
733,21.649484536082475,22.689075630252102,0.0,0.0
734,21.649484536082475,22.689075630252102,0.0,0.0
735,21.649484536082475,22.689075630252102,0.0,0.0
736,21.649484536082475,22.689075630252102,0.0,0.0
737,21.649484536082475,22.689075630252102,0.0,0.0
738,21.649484536082475,22.689075630252102,0.0,0.0
739,21.649484536082475,22.689075630252102,0.0,0.0
740,21.649484536082475,22.689075630252102,0.0,0.0
741,21.649484536082475,22.689075630252102,0.0,0.0
742,21.649484536082475,22.689075630252102,0.0,0.0
743,21.649484536082475,22.689075630252102,0.0,0.0
744,21.649484536082475,22.689075630252102,0.0,0.0
745,21.649484536082475,22.689075630252102,0.0,0.0
746,21.649484536082475,22.689075630252102,0.0,0.0
747,21.649484536082475,22.689075630252102,0.0,0.0
748,21.649484536082475,22.689075630252102,0.0,0.0
749,21.649484536082475,22.689075630252102,0.0,0.0
750,21.649484536082475,22.689075630252102,0.0,0.0
751,21.649484536082475,22.689075630252102,0.0,0.0
752,21.649484536082475,22.689075630252102,0.0,0.0
753,21.649484536082475,22.689075630252102,0.0,0.0
754,21.649484536082475,22.689075630252102,0.0,0.0
755,21.649484536082475,22.689075630252102,0.0,0.0
756,21.649484536082475,22.689075630252102,0.0,0.0
757,21.649484536082475,22.689075630252102,0.0,0.0
758,21.649484536082475,22.689075630252102,0.0,0.0
759,21.649484536082475,22.689075630252102,0.0,0.0
760,21.649484536082475,22.689075630252102,0.0,0.0
761,21.649484536082475,22.689075630252102,0.0,0.0
762,21.649484536082475,22.689075630252102,0.0,0.0
763,21.649484536082475,22.689075630252102,0.0,0.0
764,21.649484536082475,22.689075630252102,0.0,0.0
765,21.649484536082475,22.689075630252102,0.0,0.0
766,21.649484536082475,22.689075630252102,0.0,0.0
767,21.649484536082475,22.689075630252102,0.0,0.0
768,21.649484536082475,22.689075630252102,0.0,0.0
769,21.649484536082475,22.689075630252102,0.0,0.0
770,21.649484536082475,22.689075630252102,0.0,0.0
771,21.649484536082475,22.689075630252102,0.0,0.0
772,21.649484536082475,22.689075630252102,0.0,0.0
773,21.649484536082475,22.689075630252102,0.0,0.0
774,21.649484536082475,22.689075630252102,0.0,0.0
775,21.649484536082475,22.689075630252102,0.0,0.0
776,21.649484536082475,22.689075630252102,0.0,0.0
777,21.649484536082475,22.689075630252102,0.0,0.0
778,21.649484536082475,22.689075630252102,0.0,0.0
779,21.649484536082475,22.689075630252102,0.0,0.0
780,21.649484536082475,22.689075630252102,0.0,0.0
781,21.649484536082475,22.689075630252102,0.0,0.0
782,21.649484536082475,22.689075630252102,0.0,0.0
783,21.649484536082475,22.689075630252102,0.0,0.0
784,21.649484536082475,22.689075630252102,0.0,0.0
785,21.649484536082475,22.689075630252102,0.0,0.0
786,21.649484536082475,22.689075630252102,0.0,0.0
787,21.649484536082475,22.689075630252102,0.0,0.0
788,21.649484536082475,22.689075630252102,0.0,0.0
789,21.649484536082475,22.689075630252102,0.0,0.0
790,21.649484536082475,22.689075630252102,0.0,0.0
791,21.649484536082475,22.689075630252102,0.0,0.0
792,21.649484536082475,22.689075630252102,0.0,0.0
793,21.649484536082475,22.689075630252102,0.0,0.0
794,21.649484536082475,22.689075630252102,0.0,0.0
795,21.649484536082475,22.689075630252102,0.0,0.0
796,21.649484536082475,22.689075630252102,0.0,0.0
797,21.649484536082475,22.689075630252102,0.0,0.0
798,21.649484536082475,22.689075630252102,0.0,0.0
799,21.649484536082475,22.689075630252102,0.0,0.0
800,21.649484536082475,22.689075630252102,0.0,0.0
801,21.649484536082475,22.689075630252102,0.0,0.0
802,21.649484536082475,22.689075630252102,0.0,0.0
803,21.649484536082475,22.689075630252102,0.0,0.0
804,21.649484536082475,22.689075630252102,0.0,0.0
805,21.649484536082475,22.689075630252102,0.0,0.0
806,21.649484536082475,22.689075630252102,0.0,0.0
807,21.649484536082475,22.689075630252102,0.0,0.0
808,21.649484536082475,22.689075630252102,0.0,0.0
809,21.649484536082475,22.689075630252102,0.0,0.0
810,21.649484536082475,22.689075630252102,0.0,0.0
811,21.649484536082475,22.689075630252102,0.0,0.0
812,21.649484536082475,22.689075630252102,0.0,0.0
813,21.649484536082475,22.689075630252102,0.0,0.0
814,21.649484536082475,22.689075630252102,0.0,0.0
815,21.649484536082475,22.689075630252102,0.0,0.0
816,21.649484536082475,22.689075630252102,0.0,0.0
817,21.649484536082475,22.689075630252102,0.0,0.0
818,21.649484536082475,22.689075630252102,0.0,0.0
819,21.649484536082475,22.689075630252102,0.0,0.0
820,21.649484536082475,22.689075630252102,0.0,0.0
821,21.649484536082475,22.689075630252102,0.0,0.0
822,21.649484536082475,22.689075630252102,0.0,0.0
823,21.649484536082475,22.689075630252102,0.0,0.0
824,21.649484536082475,22.689075630252102,0.0,0.0
825,21.649484536082475,22.689075630252102,0.0,0.0
826,21.649484536082475,22.689075630252102,0.0,0.0
827,21.649484536082475,22.689075630252102,0.0,0.0
828,21.649484536082475,22.689075630252102,0.0,0.0
829,21.649484536082475,22.689075630252102,0.0,0.0
830,21.649484536082475,22.689075630252102,0.0,0.0
831,21.649484536082475,22.689075630252102,0.0,0.0
832,21.649484536082475,22.689075630252102,0.0,0.0
833,21.649484536082475,22.689075630252102,0.0,0.0
834,21.649484536082475,22.689075630252102,0.0,0.0
835,21.649484536082475,22.689075630252102,0.0,0.0
836,21.649484536082475,22.689075630252102,0.0,0.0
837,21.649484536082475,22.689075630252102,0.0,0.0
838,21.649484536082475,22.689075630252102,0.0,0.0
839,21.649484536082475,22.689075630252102,0.0,0.0
840,21.649484536082475,22.689075630252102,0.0,0.0
841,21.649484536082475,22.689075630252102,0.0,0.0
842,21.649484536082475,22.689075630252102,0.0,0.0
843,21.649484536082475,22.689075630252102,0.0,0.0
844,21.649484536082475,22.689075630252102,0.0,0.0
845,21.649484536082475,22.689075630252102,0.0,0.0
846,21.649484536082475,22.689075630252102,0.0,0.0
847,21.649484536082475,22.689075630252102,0.0,0.0
848,21.649484536082475,22.689075630252102,0.0,0.0
849,21.649484536082475,22.689075630252102,0.0,0.0
850,21.649484536082475,22.689075630252102,0.0,0.0
851,21.649484536082475,22.689075630252102,0.0,0.0
852,21.649484536082475,22.689075630252102,0.0,0.0
853,21.649484536082475,22.689075630252102,0.0,0.0
854,21.649484536082475,22.689075630252102,0.0,0.0
855,21.649484536082475,22.689075630252102,0.0,0.0
856,21.649484536082475,22.689075630252102,0.0,0.0
857,21.649484536082475,22.689075630252102,0.0,0.0
858,21.649484536082475,22.689075630252102,0.0,0.0
859,21.649484536082475,22.689075630252102,0.0,0.0
860,21.649484536082475,22.689075630252102,0.0,0.0
861,21.649484536082475,22.689075630252102,0.0,0.0
862,21.649484536082475,22.689075630252102,0.0,0.0
863,21.649484536082475,22.689075630252102,0.0,0.0
864,21.649484536082475,22.689075630252102,0.0,0.0
865,21.649484536082475,22.689075630252102,0.0,0.0
866,21.649484536082475,22.689075630252102,0.0,0.0
867,21.649484536082475,22.689075630252102,0.0,0.0
868,21.649484536082475,22.689075630252102,0.0,0.0
869,21.649484536082475,22.689075630252102,0.0,0.0
870,21.649484536082475,22.689075630252102,0.0,0.0
871,21.649484536082475,22.689075630252102,0.0,0.0
872,21.649484536082475,22.689075630252102,0.0,0.0
873,21.649484536082475,22.689075630252102,0.0,0.0
874,21.649484536082475,22.689075630252102,0.0,0.0
875,21.649484536082475,22.689075630252102,0.0,0.0
876,21.649484536082475,22.689075630252102,0.0,0.0
877,21.649484536082475,22.689075630252102,0.0,0.0
878,21.649484536082475,22.689075630252102,0.0,0.0
879,21.649484536082475,22.689075630252102,0.0,0.0
880,21.649484536082475,22.689075630252102,0.0,0.0
881,21.649484536082475,22.689075630252102,0.0,0.0
882,21.649484536082475,22.689075630252102,0.0,0.0
883,21.649484536082475,22.689075630252102,0.0,0.0
884,21.649484536082475,22.689075630252102,0.0,0.0
885,21.649484536082475,22.689075630252102,0.0,0.0
886,21.649484536082475,22.689075630252102,0.0,0.0
887,21.649484536082475,22.689075630252102,0.0,0.0
888,21.649484536082475,22.689075630252102,0.0,0.0
889,21.649484536082475,22.689075630252102,0.0,0.0
890,21.649484536082475,22.689075630252102,0.0,0.0
891,21.649484536082475,22.689075630252102,0.0,0.0
892,21.649484536082475,22.689075630252102,0.0,0.0
893,21.649484536082475,22.689075630252102,0.0,0.0
894,21.649484536082475,22.689075630252102,0.0,0.0
895,21.649484536082475,22.689075630252102,0.0,0.0
896,21.649484536082475,22.689075630252102,0.0,0.0
897,21.649484536082475,22.689075630252102,0.0,0.0
898,21.649484536082475,22.689075630252102,0.0,0.0
899,21.649484536082475,22.689075630252102,0.0,0.0
900,21.649484536082475,22.689075630252102,0.0,0.0
901,21.649484536082475,22.689075630252102,0.0,0.0
902,21.649484536082475,22.689075630252102,0.0,0.0
903,21.649484536082475,22.689075630252102,0.0,0.0
904,21.649484536082475,22.689075630252102,0.0,0.0
905,21.649484536082475,22.689075630252102,0.0,0.0
906,21.649484536082475,22.689075630252102,0.0,0.0
907,21.649484536082475,22.689075630252102,0.0,0.0
908,21.649484536082475,22.689075630252102,0.0,0.0
909,21.649484536082475,22.689075630252102,0.0,0.0
910,21.649484536082475,22.689075630252102,0.0,0.0
911,21.649484536082475,22.689075630252102,0.0,0.0
912,21.649484536082475,22.689075630252102,0.0,0.0
913,21.649484536082475,22.689075630252102,0.0,0.0
914,21.649484536082475,22.689075630252102,0.0,0.0
915,21.649484536082475,22.689075630252102,0.0,0.0
916,21.649484536082475,22.689075630252102,0.0,0.0
917,21.649484536082475,22.689075630252102,0.0,0.0
918,21.649484536082475,22.689075630252102,0.0,0.0
919,21.649484536082475,22.689075630252102,0.0,0.0
920,21.649484536082475,22.689075630252102,0.0,0.0
921,21.649484536082475,22.689075630252102,0.0,0.0
922,21.649484536082475,22.689075630252102,0.0,0.0
923,21.649484536082475,22.689075630252102,0.0,0.0
924,21.649484536082475,22.689075630252102,0.0,0.0
925,21.649484536082475,22.689075630252102,0.0,0.0
926,21.649484536082475,22.689075630252102,0.0,0.0
927,21.649484536082475,22.689075630252102,0.0,0.0
928,21.649484536082475,22.689075630252102,0.0,0.0
929,21.649484536082475,22.689075630252102,0.0,0.0
930,21.649484536082475,22.689075630252102,0.0,0.0
931,21.649484536082475,22.689075630252102,0.0,0.0
932,21.649484536082475,22.689075630252102,0.0,0.0
933,21.649484536082475,22.689075630252102,0.0,0.0
934,21.649484536082475,22.689075630252102,0.0,0.0
935,21.649484536082475,22.689075630252102,0.0,0.0
936,21.649484536082475,22.689075630252102,0.0,0.0
937,21.649484536082475,22.689075630252102,0.0,0.0
938,21.649484536082475,22.689075630252102,0.0,0.0
939,21.649484536082475,22.689075630252102,0.0,0.0
940,21.649484536082475,22.689075630252102,0.0,0.0
941,21.649484536082475,22.689075630252102,0.0,0.0
942,21.649484536082475,22.689075630252102,0.0,0.0
943,21.649484536082475,22.689075630252102,0.0,0.0
944,21.649484536082475,22.689075630252102,0.0,0.0
945,21.649484536082475,22.689075630252102,0.0,0.0
946,21.649484536082475,22.689075630252102,0.0,0.0
947,21.649484536082475,22.689075630252102,0.0,0.0
948,21.649484536082475,22.689075630252102,0.0,0.0
949,21.649484536082475,22.689075630252102,0.0,0.0
950,21.649484536082475,22.689075630252102,0.0,0.0
951,21.649484536082475,22.689075630252102,0.0,0.0
952,21.649484536082475,22.689075630252102,0.0,0.0
953,21.649484536082475,22.689075630252102,0.0,0.0
954,21.649484536082475,22.689075630252102,0.0,0.0
955,21.649484536082475,22.689075630252102,0.0,0.0
956,21.649484536082475,22.689075630252102,0.0,0.0
957,21.649484536082475,22.689075630252102,0.0,0.0
958,21.649484536082475,22.689075630252102,0.0,0.0
959,21.649484536082475,22.689075630252102,0.0,0.0
960,21.649484536082475,22.689075630252102,0.0,0.0
961,21.649484536082475,22.689075630252102,0.0,0.0
962,21.649484536082475,22.689075630252102,0.0,0.0
963,21.649484536082475,22.689075630252102,0.0,0.0
964,21.649484536082475,22.689075630252102,0.0,0.0
965,21.649484536082475,22.689075630252102,0.0,0.0
966,21.649484536082475,22.689075630252102,0.0,0.0
967,21.649484536082475,22.689075630252102,0.0,0.0
968,21.649484536082475,22.689075630252102,0.0,0.0
969,21.649484536082475,22.689075630252102,0.0,0.0
970,21.649484536082475,22.689075630252102,0.0,0.0
971,21.649484536082475,22.689075630252102,0.0,0.0
972,21.649484536082475,22.689075630252102,0.0,0.0
973,21.649484536082475,22.689075630252102,0.0,0.0
974,21.649484536082475,22.689075630252102,0.0,0.0
975,21.649484536082475,22.689075630252102,0.0,0.0
976,21.649484536082475,22.689075630252102,0.0,0.0
977,21.649484536082475,22.689075630252102,0.0,0.0
978,21.649484536082475,22.689075630252102,0.0,0.0
979,21.649484536082475,22.689075630252102,0.0,0.0
980,21.649484536082475,22.689075630252102,0.0,0.0
981,21.649484536082475,22.689075630252102,0.0,0.0
982,21.649484536082475,22.689075630252102,0.0,0.0
983,21.649484536082475,22.689075630252102,0.0,0.0
984,21.649484536082475,22.689075630252102,0.0,0.0
985,21.649484536082475,22.689075630252102,0.0,0.0
986,21.649484536082475,22.689075630252102,0.0,0.0
987,21.649484536082475,22.689075630252102,0.0,0.0
988,21.649484536082475,22.689075630252102,0.0,0.0
989,21.649484536082475,22.689075630252102,0.0,0.0
990,21.649484536082475,22.689075630252102,0.0,0.0
991,21.649484536082475,22.689075630252102,0.0,0.0
992,21.649484536082475,22.689075630252102,0.0,0.0
993,21.649484536082475,22.689075630252102,0.0,0.0
994,21.649484536082475,22.689075630252102,0.0,0.0
995,21.649484536082475,22.689075630252102,0.0,0.0
996,21.649484536082475,22.689075630252102,0.0,0.0
997,21.649484536082475,22.689075630252102,0.0,0.0
998,21.649484536082475,22.689075630252102,0.0,0.0
999,21.649484536082475,22.689075630252102,0.0,0.0
